RunsScored,BallsFaced,BattingPosition,Dismissal,Inning,Opposition,Year
12,22,2,LBW,1,Sri Lanka,2008
37,67,2,Caught,2,Sri Lanka,2008
25,38,1,Run out,1,Sri Lanka,2008
54,66,1,Bowled,1,Sri Lanka,2008
31,46,1,LBW,2,Sri Lanka,2008
2,2,7,NO,1,Sri Lanka,2009
16,24,4,Caught,2,Pakistan,2009
79,104,4,NO,2,West Indies,2009
30,41,4,Caught,2,Australia,2009
10,16,3,Caught,2,Australia,2009
27,19,7,Bowled,1,Sri Lanka,2009
54,65,4,LBW,1,Sri Lanka,2009
107,114,4,Caught,2,Sri Lanka,2009
9,12,3,Caught,1,Sri Lanka,2010
91,102,3,Caught,2,Bangladesh,2010
71,68,3,NO,2,Sri Lanka,2010
102,95,3,NO,2,Bangladesh,2010
2,8,3,Caught,1,Sri Lanka,2010
31,46,5,Caught,1,South Africa,2010
57,71,3,Caught,2,South Africa,2010
0,0,3,Run out,1,Zimbabwe,2010
82,92,3,Caught,2,Sri Lanka,2010
18,29,3,Caught,1,Zimbabwe,2010
68,95,3,Caught,1,Sri Lanka,2010
11,22,3,Stumped,2,Bangladesh,2010
18,27,3,Bowled,2,Pakistan,2010
10,14,3,Caught,1,Sri Lanka,2010
28,34,3,Caught,1,Sri Lanka,2010
0,3,3,Caught,2,Sri Lanka,2010
8,16,3,Caught,1,New Zealand,2010
37,57,3,Caught,2,Sri Lanka,2010
118,121,3,Caught,2,Australia,2010
105,104,3,Caught,1,New Zealand,2010
64,73,3,Caught,2,New Zealand,2010
63,70,3,NO,2,New Zealand,2010
0,2,3,Caught,2,New Zealand,2010
2,8,3,Caught,2,New Zealand,2010
54,70,3,Caught,2,South Africa,2011
22,34,3,Run out,1,South Africa,2011
28,41,3,Caught,2,South Africa,2011
87,92,3,NO,2,South Africa,2011
2,6,3,Caught,2,South Africa,2011
100,83,4,NO,1,Bangladesh,2011
8,5,7,Bowled,1,England,2011
34,53,4,Run out,2,Ireland,2011
12,20,5,Bowled,2,Netherlands,2011
1,3,7,Caught,1,South Africa,2011
59,76,3,Bowled,1,West Indies,2011
24,33,4,Caught,2,Australia,2011
9,21,4,Caught,1,Pakistan,2011
35,49,4,Caught,2,Sri Lanka,2011
2,8,3,Caught,2,West Indies,2011
81,103,3,Caught,2,West Indies,2011
0,1,3,LBW,2,West Indies,2011
22,33,3,Stumped,2,West Indies,2011
94,104,3,Run out,1,West Indies,2011
55,73,4,Bowled,1,England,2011
9,9,4,Caught,1,England,2011
7,18,4,Caught,1,England,2011
16,36,4,Caught,1,England,2011
107,93,4,Hit wicket,1,England,2011
37,63,4,Caught,1,England,2011
112,98,4,NO,2,England,2011
35,30,4,LBW,2,England,2011
86,99,4,NO,2,England,2011
0,5,3,Bowled,1,England,2011
3,6,4,Bowled,2,West Indies,2011
117,123,4,Caught,2,West Indies,2011
20,30,4,LBW,2,West Indies,2011
23,11,6,NO,1,West Indies,2011
80,85,5,Caught,1,West Indies,2011
31,34,3,Caught,2,Australia,2012
77,94,3,Run out,2,Sri Lanka,2012
18,28,3,Caught,2,Australia,2012
15,25,3,LBW,2,Sri Lanka,2012
12,25,3,Caught,2,Australia,2012
66,83,4,Caught,2,Sri Lanka,2012
21,27,4,Caught,2,Australia,2012
133,86,4,NO,2,Sri Lanka,2012
108,120,3,Caught,1,Sri Lanka,2012
66,82,3,Bowled,1,Bangladesh,2012
183,148,3,Caught,2,Pakistan,2012
106,113,3,Caught,1,Sri Lanka,2012
1,5,3,Caught,1,Sri Lanka,2012
38,65,3,Caught,2,Sri Lanka,2012
128,119,3,NO,2,Sri Lanka,2012
23,35,3,LBW,1,Sri Lanka,2012
0,5,3,Bowled,1,Pakistan,2012
6,9,3,Caught,2,Pakistan,2013
7,17,3,Caught,1,Pakistan,2013
15,22,3,Caught,2,England,2013
37,54,3,Caught,1,England,2013
77,79,3,NO,2,England,2013
26,33,3,Caught,2,England,2013
0,1,3,Caught,1,England,2013
31,41,3,Caught,1,South Africa,2013
22,18,3,Bowled,2,West Indies,2013
22,27,3,NO,2,Pakistan,2013
58,64,3,NO,2,Sri Lanka,2013
43,34,3,Caught,1,England,2013
11,21,3,Caught,1,West Indies,2013
2,5,4,Caught,2,Sri Lanka,2013
102,83,3,Caught,1,West Indies,2013
31,52,3,LBW,1,Sri Lanka,2013
2,5,3,Caught,2,Sri Lanka,2013
115,108,3,Caught,2,Zimbabwe,2013
14,18,3,Caught,1,Zimbabwe,2013
68,88,3,NO,2,Zimbabwe,2013
61,85,3,LBW,2,Australia,2013
100,52,3,NO,2,Australia,2013
68,73,3,Caught,1,Australia,2013
115,66,3,NO,2,Australia,2013
0,3,3,Run out,1,Australia,2013
86,84,3,Caught,2,West Indies,2013
99,100,3,Caught,1,West Indies,2013
19,18,3,Caught,2,West Indies,2013
31,35,3,Caught,2,South Africa,2013
0,5,3,Caught,2,South Africa,2013
123,111,3,Caught,2,New Zealand,2014
78,65,3,Caught,2,New Zealand,2014
6,20,3,Caught,2,New Zealand,2014
2,10,2,Caught,1,New Zealand,2014
82,78,3,Caught,2,New Zealand,2014
136,122,3,Bowled,2,Bangladesh,2014
48,51,3,Bowled,1,Sri Lanka,2014
5,11,3,Caught,1,Pakistan,2014
0,3,3,Caught,1,England,2014
40,50,3,Caught,2,England,2014
1,3,3,NO,2,England,2014
13,21,3,Caught,2,England,2014
2,5,3,Caught,2,West Indies,2014
62,78,4,Caught,1,West Indies,2014
127,114,3,Run out,1,West Indies,2014
22,21,4,Caught,1,Sri Lanka,2014
49,44,4,Caught,2,Sri Lanka,2014
53,61,4,Caught,2,Sri Lanka,2014
66,64,4,Run out,1,Sri Lanka,2014
139,126,4,NO,2,Sri Lanka,2014
9,16,4,Caught,1,Australia,2015
4,8,4,Caught,1,England,2015
3,9,4,NO,1,Australia,2015
8,19,3,Caught,1,England,2015
107,126,3,Caught,1,Pakistan,2015
46,60,3,Caught,1,South Africa,2015
33,41,3,NO,2,U.A.E.,2015
33,36,3,Caught,2,West Indies,2015
44,42,3,NO,2,Ireland,2015
38,48,3,Bowled,2,Zimbabwe,2015
3,8,3,Caught,1,Bangladesh,2015
1,13,3,Caught,2,Australia,2015
1,4,3,Caught,2,Bangladesh,2015
23,27,3,LBW,1,Bangladesh,2015
25,35,3,Bowled,1,Bangladesh,2015
11,18,4,Caught,2,South Africa,2015
12,18,4,Run out,1,South Africa,2015
77,99,3,Caught,2,South Africa,2015
138,140,3,Caught,1,South Africa,2015
7,6,3,Caught,2,South Africa,2015
91,97,3,Caught,1,Australia,2016
59,67,3,Run out,1,Australia,2016
117,117,3,Caught,1,Australia,2016
106,92,3,Caught,2,Australia,2016
8,11,3,Caught,2,Australia,2016
85,81,3,NO,2,New Zealand,2016
9,13,3,Caught,2,New Zealand,2016
154,134,3,NO,2,New Zealand,2016
45,51,3,Caught,2,New Zealand,2016
65,76,3,Caught,1,New Zealand,2016
122,105,3,Caught,2,England,2017
8,5,3,Caught,1,England,2017
55,63,3,Caught,2,England,2017
81,68,3,NO,1,Pakistan,2017
0,5,3,Caught,1,Sri Lanka,2017
76,101,3,NO,2,South Africa,2017
96,78,3,NO,2,Bangladesh,2017
5,9,3,Caught,2,Pakistan,2017
32,47,3,NO,1,West Indies,2017
87,66,3,Caught,1,West Indies,2017
11,22,3,Caught,1,West Indies,2017
3,12,3,Caught,2,West Indies,2017
111,115,3,NO,2,West Indies,2017
82,70,3,NO,2,Sri Lanka,2017
4,2,5,Bowled,2,Sri Lanka,2017
3,11,3,Caught,2,Sri Lanka,2017
131,96,3,Caught,1,Sri Lanka,2017
110,116,3,NO,2,Sri Lanka,2017
0,4,3,Caught,1,Australia,2017
92,107,3,Bowled,1,Australia,2017
28,35,3,Caught,2,Australia,2017
21,21,3,Bowled,2,Australia,2017
39,55,3,Caught,2,Australia,2017
121,125,3,Caught,1,New Zealand,2017
29,29,3,Caught,2,New Zealand,2017
113,106,3,Caught,1,New Zealand,2017
112,119,3,Caught,2,South Africa,2018
46,50,3,NO,2,South Africa,2018
160,159,3,NO,1,South Africa,2018
75,83,3,Caught,1,South Africa,2018
36,54,3,Run out,1,South Africa,2018
129,96,3,NO,2,South Africa,2018
75,82,3,Stumped,2,England,2018
45,56,3,LBW,2,England,2018
71,72,3,Bowled,1,England,2018
140,107,3,Stumped,2,West Indies,2018
157,129,3,NO,1,West Indies,2018
107,119,3,Bowled,2,West Indies,2018
16,17,3,Caught,1,West Indies,2018
33,29,3,NO,2,West Indies,2018
