Rank,Name,City,State,Public/Private,Undergraduate Population,Student Population,Net Price,Average Grant Aid,Total Annual Cost,Alumni Salary,Acceptance Rate,SAT Lower,SAT Upper,ACT Lower,ACT Upper,Website
1,Harvard University,Cambridge,MA,Private,13844,31120,14327,49870,69600,146800,5,1460,1590,32,35,www.harvard.edu
2,Stanford University,Stanford,CA,Private,8402,17534,13261,50134,69109,145200,5,1390,1540,32,35,www.stanford.edu
3,Yale University,New Haven,CT,Private,6483,12974,18627,50897,71290,138300,7,1460,1580,32,35,www.yale.edu
4,Massachusetts Institute of Technology,Cambridge,MA,Private,4680,11466,20771,43248,67430,155200,7,1490,1570,33,35,web.mit.edu
5,Princeton University,Princeton,NJ,Private,5659,8273,9327,48088,66150,139400,6,1430,1570,31,35,www.princeton.edu
6,University of Pennsylvania,Philadelphia,PA,Private,13437,25367,24242,44801,71715,133900,9,1420,1560,32,35,www.upenn.edu
7,Brown University,Providence,RI,Private,7390,10095,30205,42455,71050,127600,8,1405,1570,31,35,www.brown.edu
8,California Institute of Technology,Pasadena,CA,Private,1002,2238,24245,41408,68901,151600,8,1530,1590,34,35,www.caltech.edu
9,Duke University,Durham,NC,Private,7184,16130,35737,47836,71764,132100,10,1380,1540,31,35,www.duke.edu
10,Dartmouth College,Hanover,NH,Private,4693,6509,30421,47171,71827,130900,10,1430,1560,30,34,www.dartmouth.edu
11,Cornell University,Ithaca,NY,Private,14774,23016,31230,36164,70321,128200,13,1390,1550,31,34,www.cornell.edu
12,Pomona College,Claremont,CA,Private,1599,1665,15840,48930,69725,117200,8,1370,1530,30,34,www.pomona.edu
13,"University of California, Berkeley",Berkeley,CA,Public,31133,41891,15859,18319,65003,131800,17,1260,1480,30,34,www.berkeley.edu
14,Columbia University,New York,NY,Private,8523,30454,24231,49185,74199,126800,7,1410,1570,31,34,www.columbia.edu
15,Georgetown University,Washington,DC,Private,8194,19005,30107,41893,71580,122200,16,1350,1520,30,34,www.georgetown.edu
16,University of Chicago,Chicago,IL,Private,6915,16227,25455,37883,75735,114200,9,1480,1580,32,35,www.uchicago.edu
17,Northwestern University,Evanston,IL,Private,10163,22008,24047,44247,72980,115400,9,1420,1560,32,34,www.northwestern.edu
18,University of Notre Dame,Notre Dame,IN,Private,8664,12467,28768,39590,69395,130500,19,1370,1520,32,34,www.nd.edu
19,Williams College,Williamstown,MA,Private,2134,2227,22667,48050,70650,127500,15,1400,1570,31,35,www.williams.edu
20,"University of Michigan, Ann Arbor",Ann Arbor,MI,Public,29773,46002,14860,18751,62176,112200,27,1330,1500,30,33,www.umich.edu
21,Rice University,Houston,TX,Private,4036,7022,20237,36387,63158,129500,16,1490,1580,33,35,www.rice.edu
